"last_name, first_name","player_id","year","batting_avg","slg_percent","on_base_percent","exit_velocity_avg","launch_angle_avg","hard_hit_percent","whiff_percent","swing_percent"
"Hunter, Torii",116338,2015,".240",".409",".293","88.5","10.8",34.9,23.1,53.4
"Ortiz, David",120074,2015,".273",".553",".360","93","15.7",49.1,23.2,44.7
"Rodriguez, Alex",121347,2015,".250",".486",".356","91.3","12.2",43.9,32,43.9
"Ramirez, Aramis",133380,2015,".246",".423",".297","87.4","15.8",34.5,17.9,52.9
"Beltré, Adrian",134181,2015,".287",".453",".334","89.5","12.6",40.4,16.8,48.1
"Beltrán, Carlos",136860,2015,".276",".471",".337","90.6","15.6",41.9,18.1,45.4
"Rollins, Jimmy",276519,2015,".224",".358",".285","85.7","16.2",23.1,18.2,45
"Pujols, Albert",405395,2015,".244",".480",".307","90.7","14.2",38.3,16.3,45.4
"Byrd, Marlon",407781,2015,".247",".453",".290","86.3","12.1",31.1,31.2,60.2
"Mauer, Joe",408045,2015,".265",".380",".338","89.5","4.4",39.9,16.9,40.7
"Cabrera, Miguel",408234,2015,".338",".534",".440","93.8","12.2",53.3,23.1,44.9
"González, Adrián",408236,2015,".275",".480",".350","88.8","14.2",36.8,21.6,49.7
"Phillips, Brandon",408252,2015,".294",".395",".328","86.2","10.7",26,18.9,54.2
"Reyes, José",408314,2015,".274",".378",".310","84.6","13.4",18.6,16.4,50.3
"Peralta, Jhonny",425509,2015,".275",".411",".334","88.2","13.4",34,23.1,49.9
"Choo, Shin-Soo",425783,2015,".276",".463",".375","90.9","7.7",44.1,27,41.9
"Molina, Yadier",425877,2015,".270",".350",".310","86.4","10.4",25.3,16.9,54.1
"Fielder, Prince",425902,2015,".305",".463",".378","90.9","9.9",44.5,20.7,47.9
"Canó, Robinson",429664,2015,".287",".446",".334","91","5.5",45.7,19.1,49.8
"Encarnación, Edwin",429665,2015,".277",".557",".372","90","16.8",43.9,23.1,43.1
"Howard, Ryan",429667,2015,".229",".443",".277","91.3","14.9",45.2,31.9,54.6
"Bautista, José",430832,2015,".250",".536",".377","92","16.9",45.6,20.4,39.3
"Jones, Adam",430945,2015,".269",".474",".308","88.2","11.3",34.5,24.1,60.4
"Aybar, Erick",430947,2015,".270",".338",".301","85.7","6.6",19.4,13.3,52.6
"Martin, Russell",431145,2015,".240",".458",".329","89.2","9.7",40,23.5,41
"Granderson, Curtis",434158,2015,".259",".457",".364","89.4","18.4",40,20.8,37.5
"Pagán, Ángel",434636,2015,".262",".332",".303","86.3","11.6",22.6,12.4,41.5
"Morales, Kendrys",434778,2015,".290",".485",".362","91.9","10.1",47.4,22.9,47.9
"Kinsler, Ian",435079,2015,".296",".428",".342","86.1","17.7",26.6,12.3,47.1
"McCann, Brian",435263,2015,".232",".437",".320","89.5","17.5",36.5,17.3,42.1
"Walker, Neil",435522,2015,".269",".427",".328","88.9","14",37.6,19.5,49.7
"Desmond, Ian",435622,2015,".233",".384",".290","90.8","6.4",41.1,29,49.9
"Cruz Jr., Nelson",443558,2015,".302",".566",".369","92.6","9.2",47.8,30.8,48.1
"Trumbo, Mark",444432,2015,".262",".449",".310","92","13.3",43,30.9,51.5
"Peralta, David",444482,2015,".312",".522",".371","91.6","6.7",43.4,24.5,47.6
"Escobar, Alcides",444876,2015,".257",".320",".293","84.6","9.6",16.5,18.5,52
"Prado, Martín",445988,2015,".288",".394",".338","89","9.1",33.6,11.6,39.5
"Duda, Lucas",446263,2015,".244",".486",".352","91.7","19.8",42.3,24.9,41.8
"Longoria, Evan",446334,2015,".270",".435",".328","89.6","15.4",39.7,23.7,46.8
"Davis, Chris",448801,2015,".262",".562",".361","92","17.5",45.9,35.6,47.3
"Zobrist, Ben",450314,2015,".276",".450",".359","88.6","8.2",34.9,12.6,36.8
"Fowler, Dexter",451594,2015,".250",".411",".346","87.2","12.2",30.2,22,41.6
"Headley, Chase",452104,2015,".259",".369",".324","86.8","11.9",32.5,21.3,42.9
"Lind, Adam",452252,2015,".277",".460",".360","89.5","10.8",36,21.2,44.4
"Cabrera, Asdrúbal",452678,2015,".265",".430",".315","88.3","17.3",32.3,22.9,54
